SCREEN_ID	SOURCE_ID	SOURCE_TYPE	AUTHOR	SCREEN_NAME	SCORES_SIZE	FULL_SIZE	FULL_SIZE_AVAILABLE	NUMBER_OF_HITS	ANALYSIS	SIGNIFICANCE_INDICATOR	SIGNIFICANCE_CRITERIA	THROUGHPUT	SCREEN_TYPE	SCREEN_FORMAT	EXPERIMENTAL_SETUP	DURATION	CONDITION_NAME	CONDITION_DOSAGE	MOI	LIBRARY	LIBRARY_TYPE	LIBRARY_METHODOLOGY	ENZYME	CELL_LINE	CELL_TYPE	PHENOTYPE	SCORE_COL_COUNT	SCORE.1_TYPE	SCORE.2_TYPE	SCORE.3_TYPE	SCORE.4_TYPE	SCORE.5_TYPE	ORGANISM_ID	ORGANISM_OFFICIAL	NOTES	SOURCE	SCREEN_RATIONALE
1176	28985505	pubmed	Jost M (2017)	1-PMID28985505	31977	31977	Yes	619	Log2 Fold Change (L2FC)	Score Significance	Score.1 (Rho (Log2e Treated vs. Untreated)) > 0.15 OR Score.1 (Rho (Log2e Treated vs. Untreated)) < -0.15	High Throughput	Positive and Negative Selection	Pool	Drug Exposure	15 Days	rigosertib	900.0 nM	< 1.0	CRISPRi (Weissman, 2014)	CRISPRi	Inhibition	dCas9-KRAB	K-562	Chronic Myeloid Leukemia Cell Line	response to chemicals	2	Rho (Log2e Treated vs. Untreated)	p-Value	-	-	-	9606	H. sapiens	inhibition of hit genes results in decreased sensitivity to rigosertib (positive rho score) or increased sensitivity to rigosertib (negative rho score)	BioGRID ORCS	Gene inhibition affects response to chemical
1177	28985505	pubmed	Jost M (2017)	2-PMID28985505	31977	31977	Yes	666	Log2 Fold Change (L2FC)	Score Significance	Score.1 (Rho (Log2e Treated vs. Untreated)) > 0.15 OR Score.1 (Rho (Log2e Treated vs. Untreated)) < -0.15	High Throughput	Positive and Negative Selection	Pool	Drug Exposure	15 Days	rigosertib	900.0 nM	< 1.0	CRISPRa (Weissman, 2014)	CRISPRa	Activation	sunCas9	K-562	Chronic Myeloid Leukemia Cell Line	response to chemicals	2	Rho (Log2e Treated vs. Untreated)	p-Value	-	-	-	9606	H. sapiens	activation of hit genes results in decreased sensitivity to rigosertib (positive rho score) or increased sensitivity to rigosertib (negative rho score)	BioGRID ORCS	Gene activation affects response to chemical
1187	32728216	pubmed	Banik SM (2020)	1-PMID32728216	18657	18657	Yes	52	MaGeCK	Score Significance	Score.3 (FDR) < 0.05	High Throughput	Phenotype Screen	Pool	Timecourse	1 Hours	-	-	~ 0.4	CRISPRi-v2 (inhibition)	CRISPRi	Inhibition	dCas9-KRAB	K-562	Chronic Myeloid Leukemia Cell Line	protein/peptide accumulation	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	genes for which knockdown ablates the delivery of NA-647 by biotinylated LYTACs	BioGRID ORCS	Genes involved in lysosome delivery by LYTACS
1188	29211708	pubmed	Liu N (2018)	1-PMID29211708	20488	20488	Yes	25	CasTLE	Score Significance	Score.3 (q-Value) < 0.1	High Throughput	Phenotype Screen	Pool	Timecourse	17 Days	-	-	~ 0.3	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	K-562	Chronic Myeloid Leukemia Cell Line	protein/peptide accumulation	3	CasTLE Score	p-Value	q-Value	-	-	9606	H. sapiens	L1-G418R retrotransposition reporter|The cells become G418R antibiotic-resistant only when the L1-G418R reporter undergoes a successful retrotransposition event after dox induction|cells transduced with sgRNAs targeting L1 suppressors would have more retrotransposition events than negative control cells and would be enriched through the G418 selection; conversely, cells transduced with sgRNAs targeting L1 activators would be depleted.	BioGRID ORCS	Regulators of L1 retrotransposition
1190	29211708	pubmed	Liu N (2018)	2-PMID29211708	20514	20514	Yes	15	CasTLE	Score Significance	Score.3 (q-Value) <= 0.1	High Throughput	Phenotype Screen	Pool	Timecourse	18 Days	-	-	~ 0.3	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	HeLa	Cervical Adenocarcinoma Cell Line	protein/peptide accumulation	3	CasTLE Score	p-Value	q-Value	-	-	9606	H. sapiens	L1-G418R retrotransposition reporter|The cells become G418R antibiotic-resistant only when the L1-G418R reporter undergoes a successful retrotransposition event after dox induction|cells transduced with sgRNAs targeting L1 suppressors would have more retrotransposition events than negative control cells and would be enriched through the G418 selection; conversely, cells transduced with sgRNAs targeting L1 activators would be depleted.	BioGRID ORCS	Regulators of L1 retrotransposition
1191	32005668	pubmed	Wu X (2020)	1-PMID32005668	19548	19548	Yes	4	Log2 Fold Change (L2FC)	Score Significance	Score.2 (p-Value) > 5.6	High Throughput	Positive Selection	Pool	Drug Exposure	14 Days	DNMDP	25.0 nM	= 0.3	Brunello (human)	CRISPRn	Knockout	Cas9	Unknown	Acute Myeloid Leukemia Cell Line	response to chemicals	2	Log2FC	p-Value	-	-	-	9606	H. sapiens	KO of the gene increases resistance to DNMDP cancer cell killing	BioGRID ORCS	Increased drug resistance
1192	31727847	pubmed	Fei T (2019)	1-PMID31727847	19256	19256	Yes	528	MaGeCK	Score Significance	Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	~ 0.3	CRISPRn (Liu and Brown, 2019)	CRISPRn	Knockout	Cas9	T-47D	Breast Cancer Cell Line	cell proliferation	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	-	BioGRID ORCS	Cell-essential genes
1193	31727847	pubmed	Fei T (2019)	2-PMID31727847	19256	19256	Yes	281	MaGeCK	Score Significance	Score.3 (FDR) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	21 Days	-	-	~ 0.3	CRISPRn (Liu and Brown, 2019)	CRISPRn	Knockout	Cas9	LNCaP	Prostate Cancer Cell Line	cell proliferation	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	-	BioGRID ORCS	Cell-essential genes
1199	31519728	pubmed	Takahashi Y (2019)	1-PMID31519728	19114	19114	Yes	177	Log2 Fold Change (L2FC)	Score Significance	Score.1 (p-Value) < -1.3	High Throughput	Phenotype Screen	Pool	Timecourse	3 Hours	-	-	-	Brunello (human)	CRISPRn	Knockout	Cas9	U2-OS	Osteosarcoma Cell Line	protein/peptide accumulation	2	p-Value	Log2FC	-	-	-	9606	H. sapiens	The authors used HT-LC3 expressing cells to measure the accumulation of phagophores due to defects in autophagosome completion|Cells with high HT-LC3 expression represent genes whose KO leads to defects in autophagosome completion	BioGRID ORCS	Autophagosome completion genes
1203	27667664	pubmed	Arroyo JD (2016)	1-PMID27667664	19632	19632	Yes	191	MaGeCK	Column Significance	-	High Throughput	Positive Selection	Pool	Timecourse	12 Days	Galactose medium	-	-	Avana-4	CRISPRn	Knockout	Cas9	K-562	Chronic Myeloid Leukemia Cell Line	viability	3	Rank	p-Value	FDR	-	-	9606	H. sapiens	Authors used Annexin V to select for dead cells and sequence them for enriched sgRNAs, thus using positive selection to identify cell-essential genes in galactose medium	BioGRID ORCS	Cell-essential genes for growth in galactose
1204	27667664	pubmed	Arroyo JD (2016)	2-PMID27667664	19632	19632	Yes	1218	MaGeCK	Column Significance	-	High Throughput	Positive Selection	Pool	Timecourse	6 Days	-	-	-	Avana-4	CRISPRn	Knockout	Cas9	K-562	Chronic Myeloid Leukemia Cell Line	viability	3	Rank	p-Value	FDR	-	-	9606	H. sapiens	Authors used Annexin V to select for dead cells and sequence them for enriched sgRNAs, thus using positive selection to identify cell-essential genes	BioGRID ORCS	Cell-essential genes for growth
1205	31551363	pubmed	Liang J (2020)	1-PMID31551363	19062	19062	Yes	940	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.0 AND Score.2 (p-Value) < 0.05	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	-	-	~ 0.3	GECKO v2	CRISPRn	Knockout	Cas9	PLC-PRF-5	Hepatoma Cell Line	cell proliferation	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	-	BioGRID ORCS	Cell-essential genes
1206	31551363	pubmed	Liang J (2020)	2-PMID31551363	19062	19062	Yes	58	MaGeCK	Column Significance	-	High Throughput	Negative Selection	Pool	Timecourse	14 Doublings	Mutation: ATRX (ETG546) KO	-	~ 0.3	GECKO v2	CRISPRn	Knockout	Cas9	PLC-PRF-5	Hepatoma Cell Line	cell proliferation	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	Genes determined to be lethal in a WT background have been removed from the hits in order to isolate genes that are synthetic lethal with ATRX	BioGRID ORCS	ATRX KO synthetic lethal genes
1208	31919360	pubmed	Li B (2020)	2-PMID31919360	874	1000	No	121	FDR	Score Significance	Score.1 (FDR) < 0.05	High Throughput	Phenotype Screen	Pool	Virus Exposure	16 Hours	Virus: Influenza A (A/Puerto Rico/8/1934(H1N1)	5 MOI	-	CRISPRn targeted library (Hacohen, 2020)	CRISPRn	Knockout	Cas9	A549	Non-Small Cell Lung Cancer Cell Line	response to virus	1	FDR	-	-	-	-	9606	H. sapiens	Based on the results of the primary screen the authors performed a targeted secondary screen with 10 sgRNAs/gene for the top 1000 ranked genes from the initial screen|Cells transduced with the sgRNA library and exposed to influenza were FACS sorted for expression of viral HA. Cells with low viral HA were sorted into an "uninfected" bin and sgRNAs enriched in this bin should represent host dependency factors.	BioGRID ORCS	Increased resistance to virus (host dependency factors)
1209	31142663	pubmed	Dukhovny A (2019)	1-PMID31142663	18434	18434	Yes	936	MaGeCK	Score Significance	Score.2 (p-Value) < 0.05	High Throughput	Positive Selection	Pool	Virus Exposure	10 Days	Virus: Zika virus	0.2 MOI	= 0.3	Human SAM library in lentiSAMv2 backbone	CRISPRa	Activation	SAM (NLS-dCas9-VP64/MS2-p65-HSF1)	HuH-7	Hepatoma Cell Line	response to virus	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	activation of the hit gene increases cell proliferation in the presence of Zika virus	BioGRID ORCS	Activation increases resistance to the virus
1210	31142663	pubmed	Dukhovny A (2019)	2-PMID31142663	18434	18434	Yes	957	MaGeCK	Score Significance	Score.2 (p-Value) < 0.05	High Throughput	Positive Selection	Pool	Virus Exposure	10 Days	Virus: Zika virus	0.2 MOI	= 0.3	Human SAM library in lentiSAMv2 backbone	CRISPRa	Activation	SAM (NLS-dCas9-VP64/MS2-p65-HSF1)	HuH-7	Hepatoma Cell Line	response to virus	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	activation of the hit gene increases cell proliferation in the presence of Zika virus	BioGRID ORCS	Activation increases resistance to the virus
1215	30224801	pubmed	Richardson RB (2018)	1-PMID30224801	19112	19112	Yes	17	MaGeCK	Score Significance	Score.3 (FDR) < 0.01	High Throughput	Phenotype Screen	Pool	Virus Exposure	2 Days	Virus: Yellow Fever Virus 17D	1 MOI	-	Brunello (human)	CRISPRn	Knockout	Cas9	Huh-7.5	Huh-7 Cell	response to virus	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	Authors use yellow fever virus expressing Venus (YFV-Venus) to sort cells that are infected despite treatment with a highly suppressive dose of IFN-a	BioGRID ORCS	Genes involved in interferon immune reponse
1218	27992415	pubmed	Park RJ (2017)	1-PMID27992415	18387	18387	Yes	5	Log2 Fold Change (L2FC)	Score Significance	Score.1 (Log2FC) > 2.0	High Throughput	Phenotype Screen	Pool	Virus Exposure	6 Weeks	Virus: HIV (Human immunodeficiency virus)	0.025 MOI	-	Human Activity-optimized genome-wide library	CRISPRn	Knockout	Cas9	GXRCas9	CD4+ T cell	protein/peptide accumulation	1	Log2FC	-	-	-	-	9606	H. sapiens	The authors screened CD4+ T cells in which HIV infection leads to GFP expression and used FACs sorting to identify host genes important in facilitating HIV infection	BioGRID ORCS	Response to virus (host dependency factors)
1220	33333024	pubmed	Wang R (2020)	1-PMID33333024	20915	20915	Yes	431	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.005	High Throughput	Positive Selection	Pool	Virus Exposure	12 Days	Virus: SARS-CoV-2 (Severe acute respiratory syndrome coronavirus 2)	0.01 MOI	= 0.4	GECKO v2	CRISPRn	Knockout	Cas9	Huh-7.5.1	Huh-7 Cell	response to virus	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	KO of hit genes results in increased resistance to SARS-CoV-2|Huh7.5.1 cells harboring a bicistronic ACE2-IRES-TMPRSS2 construct were used as these cells sustained efficient infection that led to widespread cell death, while still allowing the survival of a small number of cells	BioGRID ORCS	Increased resistance to virus
1221	33333024	pubmed	Wang R (2020)	2-PMID33333024	20915	20915	Yes	561	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.005	High Throughput	Positive Selection	Pool	Virus Exposure	14 Days	Virus: HCoV-OC43 (Human coronavirus OC43)	3.0 MOI	= 0.4	GECKO v2	CRISPRn	Knockout	Cas9	Huh-7.5.1	Huh-7 Cell	response to virus	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	KO of hit genes results in increased resistance to HCoV-OC43	BioGRID ORCS	Increased resistance to virus
1222	33333024	pubmed	Wang R (2020)	3-PMID33333024	20915	20915	Yes	597	MaGeCK	Score Significance	Score.1 (MaGeCK Score) < 0.005	High Throughput	Positive Selection	Pool	Virus Exposure	10 Days	Virus: HCoV-229E (Human coronavirus 229E)	0.05 MOI	= 0.4	GECKO v2	CRISPRn	Knockout	Cas9	Huh-7.5.1	Huh-7 Cell	response to virus	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	KO of hit genes results in increased resistance to HCoV-229E	BioGRID ORCS	Increased resistance to virus
1224	27351204	pubmed	DeJesus R (2016)	1-PMID27351204	18007	18007	Yes	100	Log2 Fold Change (L2FC)	Score Significance	Score.1 (Log2FC) >= 0.93	High Throughput	Phenotype Screen	Pool	Timecourse	7 Days	-	-	= 0.5	CRISPRn (Hoffman and Nyfeler, 2016)	CRISPRn	Knockout	Cas9	H4 neuroglioma	Glioma Cell Line	protein/peptide accumulation	2	Log2FC	RSA	-	-	-	9606	H. sapiens	KO of the hit genes resulted in increased SQSTM1 expression as measured by FACs sorting of a GFP tagged SQSTM1	BioGRID ORCS	Negative regulators of SQSTM1
1225	27351204	pubmed	DeJesus R (2016)	2-PMID27351204	18007	18007	Yes	102	Log2 Fold Change (L2FC)	Score Significance	Score.1 (Log2FC) >= 1.35	High Throughput	Phenotype Screen	Pool	Timecourse	7 Days	-	-	= 0.5	CRISPRn (Hoffman and Nyfeler, 2016)	CRISPRn	Knockout	Cas9	H4 neuroglioma	Glioma Cell Line	protein/peptide accumulation	2	Log2FC	RSA	-	-	-	9606	H. sapiens	KO of the hit genes resulted in decreased SQSTM1 expression as measured by FACs sorting of a GFP tagged SQSTM1	BioGRID ORCS	Positive regulators of SQSTM1
1227	29736038	pubmed	Tromp AT (2018)	1-PMID29736038	18611	18611	Yes	20	MaGeCK	Column Significance	-	High Throughput	Positive Selection	Pool	Toxin Exposure	27 Days	PVL (Panton–Valentine leukocidin)	31.0 nM	-	CRISPRn (Spaan, 2018)	CRISPRn	Knockout	Cas9	U-937	Lymphoma Cell Line	response to toxin	1	MaGeCK Score	-	-	-	-	9606	H. sapiens	KO of the hit gene confers increased resistance to the to the S. aureus leukocidin PVL	BioGRID ORCS	Increased resistance to toxin
1228	29507424	pubmed	Kramer NJ (2018)	1-PMID29507424	20631	20631	Yes	387	CasTLE	Score Significance	Score.1 (CasTLE Score) > 19.3	High Throughput	Positive and Negative Selection	Pool	Toxin Exposure	3 Weeks	glycine–arginine (GR) dipeptide-repeat (DPR) protein	10.0 µM	< 1.0	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	K-562	Chronic Myeloid Leukemia Cell Line	cell proliferation	3	CasTLE Score	CasTLE Effect	p-Value	-	-	9606	H. sapiens	KO of hit genes has either a protective (positive effect score) or sensitizing (negative effect score) effect on cells in the presence of glycine-arginine (GR) dipeptide repeats derived from C9ORF72 expansion	BioGRID ORCS	Response to dipeptide-repeat proteins
1229	29507424	pubmed	Kramer NJ (2018)	2-PMID29507424	20629	20629	Yes	215	CasTLE	Score Significance	Score.1 (CasTLE Score) > 17.0	High Throughput	Positive and Negative Selection	Pool	Toxin Exposure	3 Weeks	proline–arginine (PR) dipeptide-repeat (DPR) protein	8.0 µM	< 1.0	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	K-562	Chronic Myeloid Leukemia Cell Line	cell proliferation	3	CasTLE Score	CasTLE Effect	p-Value	-	-	9606	H. sapiens	KO of hit genes has either a protective (positive effect score) or sensitizing (negative effect score) effect on cells in the presence of proline-arginine (PR) dipeptide repeats derived from C9ORF72 expansion	BioGRID ORCS	Response to dipeptide-repeat proteins
1238	32238925	pubmed	Han K (2020)	1-PMID32238925	19970	19970	Yes	2812	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) > 3.0 OR Score.1 (T-score) < -2.5	High Throughput	Positive and Negative Selection	Pool	Timecourse	21 Days	-	-	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H23	Lung Adenocarcinoma Cell Line	cell proliferation	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	KO of genes with a positive T-score results in increased proliferation, suggesting the gene normally acts in a growth restrictive manner. KO of genes with a negative score  results in decreased proliferation, suggesting the gene normally acts in a cell-essential manner	BioGRID ORCS	Cell-essential genes and growth restrictive genes
1239	32238925	pubmed	Han K (2020)	2-PMID32238925	19875	19875	Yes	154	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) > 2.5 OR Score.1 (T-score) < -2.5	High Throughput	Positive and Negative Selection	Pool	Drug Exposure	21 Days	ARS-853	5.0 µM	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H23	Lung Adenocarcinoma Cell Line	response to chemicals	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	KO of genes with a positive Tscore results in increased resistance to the KRAS inhibitor ARS-853, KO of genes with a negative Tscore results in increased sensitivity to KRAS inhibitor ARS-853	BioGRID ORCS	Response to KRAS inhibitor
1240	32238925	pubmed	Han K (2020)	3-PMID32238925	19970	19970	Yes	2431	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) > 3.0 OR Score.1 (T-score) < -2.5	High Throughput	Positive and Negative Selection	Pool	Timecourse	21 Days	3D spheroid growth	-	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H23	Lung Adenocarcinoma Cell Line	cell proliferation	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	The authors grew cells on low attachment plates to allow for 3D spheroid growth which more closely mimics the tumor environment|KO of genes with a positive T-score results in increased proliferation, suggesting the gene normally acts in a growth restrictive manner. KO of genes with a negative score  results in decreased proliferation, suggesting the gene normally acts in a cell-essential manner	BioGRID ORCS	Cell-essential genes and growth restrictive genes in spheroid growth conditions
1241	32238925	pubmed	Han K (2020)	4-PMID32238925	19863	19863	Yes	167	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) < -2.5 OR Score.1 (T-score) > 2.5	High Throughput	Positive and Negative Selection	Pool	Drug Exposure	21 Days	ARS-853|3D spheroid growth	5.0 µM	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H23	Lung Adenocarcinoma Cell Line	response to chemicals	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	The authors grew cells on low attachment plates to allow for 3D spheroid growth which more closely mimics the tumor environment|KO of genes with a positive T-score results in increased resistance to the KRAS inhibitor. KO of genes with a negative score  results in increased sensitivity to the KRAS inhibitor.	BioGRID ORCS	Response to KRAS inhibitor in spheroid growth conditions
1242	32238925	pubmed	Han K (2020)	5-PMID32238925	19875	19875	Yes	605	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) < -2.5 OR Score.1 (T-score) > 3.0	High Throughput	Positive and Negative Selection	Pool	Timecourse	21 Days	3D spheroid growth	-	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H23	Lung Adenocarcinoma Cell Line	cell proliferation	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	The authors identified genes with differential effects in 3D growth conditions by normalizing 3D phenotypes against the corresponding 2D phenotypes (3D/2D).|KO of genes with a positive T-score results in increased proliferation, suggesting the gene normally acts in a growth restrictive manner. KO of genes with a negative score results in decreased proliferation, suggesting the gene normally acts in a cell-essential manner	BioGRID ORCS	Cell-essential genes and growth restrictive genes in spheroid growth conditions compared to mono-layer growth conditions
1243	32238925	pubmed	Han K (2020)	6-PMID32238925	19988	19988	Yes	2704	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) < -2.5 OR Score.1 (T-score) > 3.0	High Throughput	Positive and Negative Selection	Pool	Timecourse	21 Days	-	-	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H2009	Lung Cancer Cell Line	cell proliferation	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	KO of genes with a positive T-score results in increased proliferation, suggesting the gene normally acts in a growth restrictive manner. KO of genes with a negative score results in decreased proliferation, suggesting the gene normally acts in a cell-essential manner	BioGRID ORCS	Cell-essential genes and growth restrictive genes
1244	32238925	pubmed	Han K (2020)	7-PMID32238925	19988	19988	Yes	1935	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) < -2.5 OR Score.1 (T-score) > 3.0	High Throughput	Positive and Negative Selection	Pool	Timecourse	21 Days	3D spheroid growth	-	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H2009	Lung Cancer Cell Line	cell proliferation	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	The authors grew cells on low attachment plates to allow for 3D spheroid growth which more closely mimics the tumor environment|KO of genes with a positive T-score results in increased proliferation, suggesting the gene normally acts in a growth restrictive manner. KO of genes with a negative score results in decreased proliferation, suggesting the gene normally acts in a cell-essential manner	BioGRID ORCS	Cell-essential genes and growth restrictive genes in spheroid growth conditions
1245	32238925	pubmed	Han K (2020)	8-PMID32238925	19960	19960	Yes	491	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) < -2.5 OR Score.1 (T-score) > 3.0	High Throughput	Positive and Negative Selection	Pool	Timecourse	21 Days	3D spheroid growth	-	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H2009	Lung Cancer Cell Line	cell proliferation	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	The authors identified genes with differential effects in 3D growth conditions by normalizing 3D phenotypes against the corresponding 2D phenotypes (3D/2D).|KO of genes with a positive T-score results in increased proliferation, suggesting the gene normally acts in a growth restrictive manner. KO of genes with a negative score results in decreased proliferation, suggesting the gene normally acts in a cell-essential manner	BioGRID ORCS	Cell-essential genes and growth restrictive genes in spheroid growth conditions compared to mono-layer growth conditions
1246	32238925	pubmed	Han K (2020)	9-PMID32238925	19996	19996	Yes	2970	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) < -2.5 OR Score.1 (T-score) > 3.0	High Throughput	Positive and Negative Selection	Pool	Timecourse	21 Days	-	-	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H1975	Non-Small Cell Lung Cancer Cell Line	cell proliferation	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	KO of genes with a positive T-score results in increased proliferation, suggesting the gene normally acts in a growth restrictive manner. KO of genes with a negative score results in decreased proliferation, suggesting the gene normally acts in a cell-essential manner	BioGRID ORCS	Cell-essential genes and growth restrictive genes
1247	32238925	pubmed	Han K (2020)	10-PMID32238925	19996	19996	Yes	2443	Phenotype scores based on log2 fold enrichments	Score Significance	Score.1 (T-score) < -2.5 OR Score.1 (T-score) > 3.0	High Throughput	Positive and Negative Selection	Pool	Timecourse	21 Days	3D spheroid growth	-	~ 0.4	Bassik Human CRISPR Knockout Library	CRISPRn	Knockout	Cas9	NCI-H1975	Non-Small Cell Lung Cancer Cell Line	cell proliferation	3	T-score	p-Value	q-Value	-	-	9606	H. sapiens	The authors grew cells on low attachment plates to allow for 3D spheroid growth which more closely mimics the tumor environment|KO of genes with a positive T-score results in increased proliferation, suggesting the gene normally acts in a growth restrictive manner. KO of genes with a negative score results in decreased proliferation, suggesting the gene normally acts in a cell-essential manner	BioGRID ORCS	Cell-essential genes and growth restrictive genes in spheroid growth conditions
1249	32755594	pubmed	Benslimane Y (2020)	1-PMID32755594	19012	19012	Yes	392	RANKS	Score Significance	Score.2 (FDR) <= 0.05	High Throughput	Positive and Negative Selection	Pool	Drug Exposure	15 Days	Resveratrol	16.0 µM	= 0.5	Toronto Knockout version 3 (TKOv3)	CRISPRn	Knockout	Cas9	NALM-6	Pre-B Acute Lymphoblastic Leukemia Cell Line	response to chemicals	2	RANKS score	FDR	-	-	-	9606	H. sapiens	KO of hit genes with a negative RANKS score sensitizes cells to resveratrol, KO of hit genes with a positive RANKS score increases resistance to resveratrol	BioGRID ORCS	Increased/decreased drug resistance
1250	32755594	pubmed	Benslimane Y (2020)	2-PMID32755594	19021	19021	Yes	104	RANKS	Score Significance	Score.2 (FDR) <= 0.05	High Throughput	Positive and Negative Selection	Pool	Drug Exposure	16 Days	Pterostilbene	16.0 µM	= 0.5	Toronto Knockout version 3 (TKOv3)	CRISPRn	Knockout	Cas9	NALM-6	Pre-B Acute Lymphoblastic Leukemia Cell Line	response to chemicals	2	RANKS score	FDR	-	-	-	9606	H. sapiens	KO of hit genes with a negative RANKS score sensitizes cells to pterostilbene, KO of hit genes with a positive RANKS score increases resistance to pterostilbene	BioGRID ORCS	Increased/decreased drug resistance
1251	32755594	pubmed	Benslimane Y (2020)	3-PMID32755594	19016	19016	Yes	399	RANKS	Score Significance	Score.2 (FDR) <= 0.05	High Throughput	Positive and Negative Selection	Pool	Drug Exposure	16 Days	Hydroxyurea	100.0 µM	= 0.5	Toronto Knockout version 3 (TKOv3)	CRISPRn	Knockout	Cas9	NALM-6	Pre-B Acute Lymphoblastic Leukemia Cell Line	response to chemicals	2	RANKS score	FDR	-	-	-	9606	H. sapiens	KO of hit genes with a negative RANKS score sensitizes cells to hydroxyurea, KO of hit genes with a positive RANKS score increases resistance to hydroxyurea	BioGRID ORCS	Increased/decreased drug resistance
1252	32755594	pubmed	Benslimane Y (2020)	4-PMID32755594	17821	17821	Yes	1	RANKS	Score Significance	Score.3 (FDR) <= 0.05	High Throughput	Positive and Negative Selection	Pool	Drug Exposure	14 Days	Resveratrol	25.0 µM	= 0.5	Toronto Knockout version 3 (TKOv3)	CRISPRn	Knockout	Cas9	Jurkat cell	T-lymphoblastic leukemia cell line	response to chemicals	3	RANKS score	p-Value	FDR	-	-	9606	H. sapiens	KO of hit genes with a negative RANKS score sensitizes cells to resveratrol, KO of hit genes with a positive RANKS score increases resistance to resveratrol	BioGRID ORCS	Increased/decreased drug resistance
1255	31855178	pubmed	Palit SA (2019)	1-PMID31855178	22021	22021	Yes	1098	MaGeCK	Score Significance	Score.2 (p-Value) < 0.05	High Throughput	Positive Selection	Pool	Drug Exposure	6 Weeks	Apalutamide	2.0 µM	-	GECKO	CRISPRn	Knockout	Cas9	LNCaP	Prostate Cancer Cell Line	response to chemicals	3	MaGeCK Score	p-Value	FDR	-	-	9606	H. sapiens	KO of hit genes resulted in increased resistance to the AR inhibitor apalutamide in LNCaP cells	BioGRID ORCS	Increased drug resistance
